Events/frame: [16384, 16384, 16384, 16384] | Total: 65536 | Rate: 9 kEv/s (Δ 7203 ms)
Locked hwsem at init
USB ready
Waiting for HE core to lock sem 0 
HWSEOM 0 now locked by HE core
Events/frame: [15973, 15972, 15972, 15972] | Total: 63889 | Rate: 1726 kEv/s (Δ 37 ms)
Events/frame: [15853, 15863, 15838, 15890] | Total: 63444 | Rate: 1475 kEv/s (Δ 43 ms)
Events/frame: [16000, 15973, 15953, 15839] | Total: 63765 | Rate: 1449 kEv/s (Δ 44 ms)
Events/frame: [15796, 15877, 15930, 15909] | Total: 63512 | Rate: 1351 kEv/s (Δ 47 ms)
Events/frame: [15346, 15238, 15873, 15999] | Total: 62456 | Rate: 1095 kEv/s (Δ 57 ms)
Events/frame: [15972, 15973, 15972, 15973] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15981, 15973, 15957, 15988] | Total: 63899 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15764, 15949, 15975, 15972] | Total: 63660 | Rate: 1720 kEv/s (Δ 37 ms)
Events/frame: [15973, 15972, 15973, 15972] | Total: 63890 | Rate: 1879 kEv/s (Δ 34 ms)
Events/frame: [15972, 15957, 15627, 15933] | Total: 63489 | Rate: 1587 kEv/s (Δ 40 ms)
Events/frame: [15972, 15973, 15973, 15972] | Total: 63890 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15972, 15927] | Total: 63844 | Rate: 1418 kEv/s (Δ 45 ms)
Events/frame: [15979, 15973, 15972, 15973] | Total: 63897 | Rate: 1825 kEv/s (Δ 35 ms)
Events/frame: [15979, 15973, 15972, 15974] | Total: 63898 | Rate: 1936 kEv/s (Δ 33 ms)
Events/frame: [15973, 15972, 15972, 15965] | Total: 63882 | Rate: 1359 kEv/s (Δ 47 ms)
Events/frame: [15844, 15952, 15998, 15974] | Total: 63768 | Rate: 1723 kEv/s (Δ 37 ms)
Events/frame: [15984, 15972, 15973, 15972] | Total: 63901 | Rate: 1825 kEv/s (Δ 35 ms)
